image_filename,filename,is_negative
710a7e72-bbca-11e8-b2bc-ac1f6b6435d0,710a7e72-bbca-11e8-b2bc-ac1f6b6435d0_5,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_22,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_1,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_3,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_23,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_4,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_5,0
1752_G8_8,1752_G8_8_14,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_6,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_7,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_19,0
f15fb068-bba9-11e8-b2ba-ac1f6b6435d0,f15fb068-bba9-11e8-b2ba-ac1f6b6435d0_3,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_8,0
f15fb068-bba9-11e8-b2ba-ac1f6b6435d0,f15fb068-bba9-11e8-b2ba-ac1f6b6435d0_4,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_9,0
1752_G8_8,1752_G8_8_24,0
f15fb068-bba9-11e8-b2ba-ac1f6b6435d0,f15fb068-bba9-11e8-b2ba-ac1f6b6435d0_5,0
1752_G8_8,1752_G8_8_26,0
93323904-bba2-11e8-b2b9-ac1f6b6435d0,93323904-bba2-11e8-b2b9-ac1f6b6435d0_10,0
f15fb068-bba9-11e8-b2ba-ac1f6b6435d0,f15fb068-bba9-11e8-b2ba-ac1f6b6435d0_6,0
f15fb068-bba9-11e8-b2ba-ac1f6b6435d0,f15fb068-bba9-11e8-b2ba-ac1f6b6435d0_7,0
1752_G8_8,1752_G8_8_20,0
291_H4_2,291_H4_2_8,0
291_H4_2,291_H4_2_13,0
1752_G8_18,1752_G8_18_31,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_3,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_4,0
9154beea-bba2-11e8-b2b9-ac1f6b6435d0,9154beea-bba2-11e8-b2b9-ac1f6b6435d0_12,0
235c5ec4-bb9e-11e8-b2b9-ac1f6b6435d0,235c5ec4-bb9e-11e8-b2b9-ac1f6b6435d0_9,0
99cba220-bbc3-11e8-b2bc-ac1f6b6435d0,99cba220-bbc3-11e8-b2bc-ac1f6b6435d0_6,0
9154beea-bba2-11e8-b2b9-ac1f6b6435d0,9154beea-bba2-11e8-b2b9-ac1f6b6435d0_15,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_7,0
9154beea-bba2-11e8-b2b9-ac1f6b6435d0,9154beea-bba2-11e8-b2b9-ac1f6b6435d0_16,0
9154beea-bba2-11e8-b2b9-ac1f6b6435d0,9154beea-bba2-11e8-b2b9-ac1f6b6435d0_17,0
1752_G8_18,1752_G8_18_32,0
235c5ec4-bb9e-11e8-b2b9-ac1f6b6435d0,235c5ec4-bb9e-11e8-b2b9-ac1f6b6435d0_2,0
f10be136-bba9-11e8-b2ba-ac1f6b6435d0,f10be136-bba9-11e8-b2ba-ac1f6b6435d0_9,0
9154beea-bba2-11e8-b2b9-ac1f6b6435d0,9154beea-bba2-11e8-b2b9-ac1f6b6435d0_18,0
